@relation atp_matches_2018_ab-weka.filters.unsupervised.attribute.Remove-R1

@attribute surface {Hard,Clay,Grass}
@attribute 0rank numeric
@attribute 1rank numeric
@attribute winner {0rank,1rank}

@data
Hard,47,52,0rank
Hard,54,94,0rank
Hard,63,30,0rank
Hard,208,44,0rank
Hard,175,68,0rank
Hard,33,218,0rank
Hard,38,26,0rank
Hard,66,120,0rank
Hard,76,79,0rank
Hard,58,25,0rank
Hard,50,51,0rank
Hard,128,137,0rank
Hard,47,119,0rank
Hard,63,54,0rank
Hard,208,24,0rank
Hard,175,33,0rank
Hard,38,66,0rank
Hard,21,76,0rank
Hard,50,58,0rank
Hard,3,128,0rank
Hard,47,63,0rank
Hard,208,175,0rank
Hard,21,38,0rank
Hard,3,50,0rank
Hard,47,208,0rank
Hard,21,3,0rank
Hard,21,47,0rank
Hard,48,10,0rank
Hard,59,73,0rank
Hard,39,82,0rank
Hard,35,67,0rank
Hard,64,23,0rank
Hard,134,?,0rank
Hard,138,451,0rank
Hard,36,70,0rank
Hard,60,34,0rank
Hard,135,55,0rank
Hard,46,43,0rank
Hard,53,19,0rank
Hard,31,83,0rank
Hard,91,69,0rank
Hard,49,98,0rank
Hard,5,72,0rank
Hard,48,59,0rank
Hard,39,35,0rank
Hard,64,134,0rank
Hard,138,36,0rank
Hard,60,135,0rank
Hard,46,53,0rank
Hard,91,31,0rank
Hard,5,49,0rank
Hard,39,48,0rank
Hard,64,138,0rank
Hard,46,60,0rank
Hard,5,91,0rank
Hard,39,64,0rank
Hard,46,5,0rank
Hard,46,39,0rank
Hard,124,117,0rank
Hard,88,93,0rank
Hard,74,87,0rank
Hard,85,95,0rank
Hard,113,1690,0rank
Hard,42,97,0rank
Hard,198,62,0rank
Hard,230,223,0rank
Hard,89,96,0rank
Hard,81,109,0rank
Hard,118,610,0rank
Hard,148,106,0rank
Hard,14,124,0rank
Hard,74,88,0rank
Hard,41,85,0rank
Hard,42,113,0rank
Hard,198,230,0rank
Hard,89,20,0rank
Hard,81,118,0rank
Hard,6,148,0rank
Hard,14,74,0rank
Hard,41,42,0rank
Hard,89,198,0rank
Hard,6,81,0rank
Hard,14,41,0rank
Hard,89,6,0rank
Hard,89,14,0rank
Hard,50,100,0rank
Hard,48,41,0rank
Hard,33,98,0rank
Hard,62,96,0rank
Hard,59,63,0rank
Hard,38,313,0rank
Hard,21,?,0rank
Hard,46,397,0rank
Hard,64,88,0rank
Hard,90,80,0rank
Hard,43,137,0rank
Hard,65,135,0rank
Hard,12,50,0rank
Hard,48,33,0rank
Hard,62,16,0rank
Hard,38,59,0rank
Hard,21,46,0rank
Hard,64,13,0rank
Hard,43,90,0rank
Hard,65,8,0rank
Hard,12,48,0rank
Hard,38,62,0rank
Hard,21,64,0rank
Hard,43,65,0rank
Hard,12,38,0rank
Hard,21,43,0rank
Hard,21,12,0rank
Hard,127,621,0rank
Hard,42,51,0rank
Hard,52,34,0rank
Hard,36,462,0rank
Hard,167,40,0rank
Hard,30,53,0rank
Hard,28,71,0rank
Hard,138,189,0rank
Hard,37,54,0rank
Hard,84,29,0rank
Hard,55,57,0rank
Hard,45,99,0rank
Hard,25,127,0rank
Hard,42,52,0rank
Hard,36,26,0rank
Hard,167,30,0rank
Hard,28,138,0rank
Hard,27,37,0rank
Hard,84,55,0rank
Hard,45,22,0rank
Hard,42,25,0rank
Hard,167,36,0rank
Hard,27,28,0rank
Hard,84,45,0rank
Hard,167,42,0rank
Hard,84,27,0rank
Hard,84,167,0rank
Hard,1,79,0rank
Hard,52,101,0rank
Hard,122,46,0rank
Hard,30,44,0rank
Hard,26,75,0rank
Hard,138,134,0rank
Hard,37,448,0rank
Hard,78,16,0rank
Hard,11,243,0rank
Hard,57,92,0rank
Hard,100,210,0rank
Hard,28,67,0rank
Hard,34,90,0rank
Hard,45,95,0rank
Hard,70,129,0rank
Hard,6,105,0rank
Hard,3,226,0rank
Hard,186,140,0rank
Hard,123,119,0rank
Hard,32,33,0rank
Hard,17,98,0rank
Hard,65,188,0rank
Hard,50,82,0rank
Hard,15,214,0rank
Hard,49,12,0rank
Hard,60,74,0rank
Hard,61,102,0rank
Hard,117,18,0rank
Hard,168,29,0rank
Hard,76,155,0rank
Hard,89,85,0rank
Hard,41,9,0rank
Hard,5,56,0rank
Hard,190,48,0rank
Hard,64,225,0rank
Hard,27,130,0rank
Hard,40,21,0rank
Hard,94,83,0rank
Hard,97,84,0rank
Hard,8,136,0rank
Hard,14,63,0rank
Hard,39,187,0rank
Hard,131,550,0rank
Hard,22,54,0rank
Hard,58,35,0rank
Hard,53,216,0rank
Hard,62,69,0rank
Hard,4,73,0rank
Hard,7,182,0rank
Hard,59,96,0rank
Hard,72,68,0rank
Hard,25,66,0rank
Hard,20,127,0rank
Hard,71,42,0rank
Hard,47,139,0rank
Hard,10,81,0rank
Hard,13,38,0rank
Hard,80,87,0rank
Hard,93,99,0rank
Hard,86,23,0rank
Hard,31,106,0rank
Hard,219,43,0rank
Hard,55,174,0rank
Hard,2,51,0rank
Hard,1,52,0rank
Hard,30,122,0rank
Hard,26,138,0rank
Hard,37,78,0rank
Hard,11,57,0rank
Hard,28,100,0rank
Hard,45,34,0rank
Hard,6,70,0rank
Hard,3,186,0rank
Hard,32,123,0rank
Hard,17,65,0rank
Hard,15,50,0rank
Hard,49,60,0rank
Hard,61,117,0rank
Hard,76,168,0rank
Hard,89,41,0rank
Hard,5,190,0rank
Hard,27,64,0rank
Hard,94,40,0rank
Hard,97,8,0rank
Hard,14,39,0rank
Hard,22,131,0rank
Hard,58,53,0rank
Hard,4,62,0rank
Hard,59,7,0rank
Hard,25,72,0rank
Hard,20,71,0rank
Hard,10,47,0rank
Hard,80,13,0rank
Hard,93,86,0rank
Hard,31,219,0rank
Hard,2,55,0rank
Hard,1,30,0rank
Hard,26,37,0rank
Hard,11,28,0rank
Hard,6,45,0rank
Hard,3,32,0rank
Hard,17,15,0rank
Hard,49,61,0rank
Hard,76,89,0rank
Hard,5,27,0rank
Hard,97,94,0rank
Hard,14,22,0rank
Hard,58,4,0rank
Hard,25,59,0rank
Hard,20,10,0rank
Hard,80,93,0rank
Hard,2,31,0rank
Hard,1,26,0rank
Hard,6,11,0rank
Hard,3,17,0rank
Hard,49,76,0rank
Hard,97,5,0rank
Hard,58,14,0rank
Hard,20,25,0rank
Hard,2,80,0rank
Hard,6,1,0rank
Hard,49,3,0rank
Hard,58,97,0rank
Hard,2,20,0rank
Hard,6,49,0rank
Hard,2,58,0rank
Hard,2,6,0rank
Clay,98,190,0rank
Clay,6,389,0rank
Clay,6,190,0rank
Clay,200,426,0rank
Clay,95,597,0rank
Clay,281,405,0rank
Clay,95,281,0rank
Hard,308,253,0rank
Hard,194,?,0rank
Hard,309,308,0rank
Hard,292,?,0rank
Hard,328,169,0rank
Hard,388,?,0rank
Hard,284,365,0rank
Hard,117,468,0rank
Hard,284,117,0rank
Hard,365,468,0rank
Grass,?,178,0rank
Grass,1753,776,0rank
Grass,1753,?,0rank
Hard,289,254,0rank
Hard,97,325,0rank
Hard,97,289,0rank
Hard,254,325,0rank
Hard,396,113,0rank
Hard,135,505,0rank
Hard,113,135,0rank
Hard,396,505,0rank
Hard,5,139,0rank
Hard,14,58,0rank
Hard,5,14,0rank
Clay,47,85,0rank
Clay,48,181,0rank
Clay,47,48,0rank
Hard,369,25,0rank
Hard,33,42,0rank
Hard,25,42,0rank
Clay,21,165,0rank
Clay,114,23,0rank
Clay,21,114,0rank
Hard,120,63,0rank
Hard,7,227,0rank
Hard,7,63,0rank
Hard,521,248,0rank
Hard,22,100,0rank
Hard,41,78,0rank
Hard,22,41,0rank
Hard,231,123,0rank
Hard,73,485,0rank
Hard,606,707,0rank
Hard,231,485,0rank
Clay,12,88,0rank
Clay,18,84,0rank
Clay,230,50,0rank
Clay,1428,240,0rank
Clay,482,590,0rank
Clay,878,1290,0rank
Clay,1581,716,0rank
Hard,208,1488,0rank
Hard,237,408,0rank
Hard,296,?,0rank
Hard,32,?,0rank
Hard,207,305,0rank
Hard,32,207,0rank
Hard,?,?,0rank
Hard,279,171,0rank
Hard,116,896,0rank
Hard,171,?,0rank
Clay,591,1082,0rank
Clay,698,57,0rank
Clay,591,57,0rank
Hard,1519,1331,0rank
Hard,1015,?,0rank
Hard,1221,?,0rank
Hard,559,895,0rank
Hard,840,943,0rank
Hard,559,840,0rank
Hard,943,895,0rank
Hard,504,699,0rank
Hard,1070,598,0rank
Hard,?,?,0rank
Hard,322,?,0rank
Hard,1371,?,0rank
Hard,1402,1570,0rank
Hard,1371,1402,0rank
Hard,?,1535,0rank
Hard,560,?,0rank
Hard,951,?,0rank
Hard,560,?,0rank
Hard,951,?,0rank
Hard,?,596,0rank
Hard,94,?,0rank
Hard,94,?,0rank
Hard,797,?,0rank
Hard,52,224,0rank
Hard,213,195,0rank
Hard,52,213,0rank
Hard,224,831,0rank
Clay,1455,1408,0rank
Clay,458,1674,0rank
Clay,458,?,0rank
Clay,1408,1674,0rank
Hard,109,643,0rank
Hard,611,682,0rank
Hard,109,611,0rank
Hard,643,526,0rank
Hard,463,422,0rank
Hard,502,260,0rank
Hard,867,?,0rank
Hard,838,860,0rank
Hard,630,1438,0rank
Hard,838,630,0rank
Hard,190,137,0rank
Hard,44,53,0rank
Hard,109,41,0rank
Hard,105,125,0rank
Hard,91,78,0rank
Hard,36,69,0rank
Hard,33,56,0rank
Hard,76,146,0rank
Hard,121,148,0rank
Hard,49,39,0rank
Hard,117,55,0rank
Hard,64,142,0rank
Hard,17,190,0rank
Hard,44,109,0rank
Hard,19,105,0rank
Hard,36,91,0rank
Hard,33,76,0rank
Hard,30,121,0rank
Hard,49,117,0rank
Hard,7,64,0rank
Hard,17,44,0rank
Hard,19,36,0rank
Hard,33,30,0rank
Hard,7,49,0rank
Hard,17,19,0rank
Hard,33,7,0rank
Hard,17,33,0rank
Clay,282,113,0rank
Clay,98,99,0rank
Clay,86,108,0rank
Clay,122,119,0rank
Clay,159,141,0rank
Clay,118,66,0rank
Clay,95,195,0rank
Clay,135,1753,0rank
Clay,107,247,0rank
Clay,90,133,0rank
Clay,152,131,0rank
Clay,156,101,0rank
Clay,21,282,0rank
Clay,98,86,0rank
Clay,43,122,0rank
Clay,118,159,0rank
Clay,95,135,0rank
Clay,107,46,0rank
Clay,152,90,0rank
Clay,156,10,0rank
Clay,21,98,0rank
Clay,118,43,0rank
Clay,107,95,0rank
Clay,156,152,0rank
Clay,21,118,0rank
Clay,107,156,0rank
Clay,107,21,0rank
Hard,123,185,0rank
Hard,187,89,0rank
Hard,96,71,0rank
Hard,77,92,0rank
Hard,111,88,0rank
Hard,93,42,0rank
Hard,68,340,0rank
Hard,82,110,0rank
Hard,129,72,0rank
Hard,67,199,0rank
Hard,74,?,0rank
Hard,147,1529,0rank
Hard,123,25,0rank
Hard,187,96,0rank
Hard,28,77,0rank
Hard,93,111,0rank
Hard,82,68,0rank
Hard,129,35,0rank
Hard,67,74,0rank
Hard,15,147,0rank
Hard,187,123,0rank
Hard,93,28,0rank
Hard,129,82,0rank
Hard,15,67,0rank
Hard,93,187,0rank
Hard,129,15,0rank
Hard,129,93,0rank
Clay,69,119,0rank
Clay,70,71,0rank
Clay,114,76,0rank
Clay,51,60,0rank
Clay,137,276,0rank
Clay,24,418,0rank
Clay,43,32,0rank
Clay,88,190,0rank
Clay,50,105,0rank
Clay,40,96,0rank
Clay,59,87,0rank
Clay,66,102,0rank
Clay,69,10,0rank
Clay,70,114,0rank
Clay,51,20,0rank
Clay,24,137,0rank
Clay,43,88,0rank
Clay,50,22,0rank
Clay,59,40,0rank
Clay,6,66,0rank
Clay,70,69,0rank
Clay,51,24,0rank
Clay,43,50,0rank
Clay,6,59,0rank
Clay,51,70,0rank
Clay,6,43,0rank
Clay,6,51,0rank
Hard,94,79,0rank
Hard,89,58,0rank
Hard,44,65,0rank
Hard,63,108,0rank
Hard,95,132,0rank
Hard,128,49,0rank
Hard,27,232,0rank
Hard,72,139,0rank
Hard,91,109,0rank
Hard,100,61,0rank
Hard,98,873,0rank
Hard,131,146,0rank
Hard,12,94,0rank
Hard,89,44,0rank
Hard,25,63,0rank
Hard,128,95,0rank
Hard,27,72,0rank
Hard,91,18,0rank
Hard,98,100,0rank
Hard,11,131,0rank
Hard,12,89,0rank
Hard,25,128,0rank
Hard,27,91,0rank
Hard,11,98,0rank
Hard,12,25,0rank
Hard,11,27,0rank
Hard,11,12,0rank
Hard,5,41,0rank
Hard,38,168,0rank
Hard,29,74,0rank
Hard,34,16,0rank
Hard,7,101,0rank
Hard,37,150,0rank
Hard,67,56,0rank
Hard,17,53,0rank
Hard,57,28,0rank
Hard,80,33,0rank
Hard,81,68,0rank
Hard,4,39,0rank
Hard,259,13,0rank
Hard,42,352,0rank
Hard,36,48,0rank
Hard,2,116,0rank
Hard,5,38,0rank
Hard,34,29,0rank
Hard,7,37,0rank
Hard,17,67,0rank
